parcl_id,country,geoid,state_fips_code,name,state_abbreviation,region,location_type,total_population,median_income,parcl_exchange_market,pricefeed_market,case_shiller_10_market,case_shiller_20_market
2899748,USA,19660,,"Deltona-Daytona Beach-Ormond Beach, Fl",,,CBSA,676035,64197,0,1,0,0
2900413,USA,45060,,"Syracuse, Ny",,,CBSA,658694,70096,0,0,0,0
2899768,USA,20500,,"Durham-Chapel Hill, Nc",,,CBSA,648066,76040,0,0,0,0
2900491,USA,48620,,"Wichita, Ks",,,CBSA,646794,66643,0,0,0,0
2900429,USA,45780,,"Toledo, Oh",,,CBSA,644547,61620,0,0,0,0
2887286,USA,12260,,"Augusta-Richmond County, Ga-Sc",,,CBSA,612898,62941,0,0,0,0
2900229,USA,37340,,"Palm Bay-Melbourne-Titusville, Fl",,,CBSA,610723,71308,0,0,0,0
2899941,USA,25420,,"Harrisburg-Carlisle, Pa",,,CBSA,593318,76189,0,0,0,0
2899985,USA,27140,,"Jackson, Ms",,,CBSA,591397,60085,0,0,0,0
2900389,USA,44060,,"Spokane-Spokane Valley, Wa",,,CBSA,585485,69752,0,0,0,0
2900351,USA,42540,,"Scranton--Wilkes-Barre, Pa",,,CBSA,567287,62318,0,0,0,0
2899843,USA,16860,,"Chattanooga, Tn-Ga",,,CBSA,564466,65387,0,0,0,0
2900043,USA,29540,,"Lancaster, Pa",,,CBSA,553202,81458,0,0,0,0
2900265,USA,38860,,"Portland-South Portland, Me",,,CBSA,552916,84095,0,0,0,0
2900143,USA,33700,,"Modesto, Ca",,,CBSA,552063,74872,0,0,0,0
2899688,USA,22220,,"Fayetteville-Springdale-Rogers, Ar",,,CBSA,550596,73316,0,0,0,0
2899902,USA,49660,,"Youngstown-Warren-Boardman, Oh-Pa",,,CBSA,540328,54650,0,0,0,0
2900044,USA,29620,,"Lansing-East Lansing, Mi",,,CBSA,538985,68270,0,0,0,0
2899808,USA,22180,,"Fayetteville, Nc",,,CBSA,522537,57488,0,0,0,0
2900065,USA,30460,,"Lexington-Fayette, Ky",,,CBSA,515954,68089,0,0,0,0
2900241,USA,37860,,"Pensacola-Ferry Pass-Brent, Fl",,,CBSA,510290,69374,0,1,0,0
2900170,USA,34820,,"Myrtle Beach-Conway-North Myrtle Beach, Sc-Nc",,,CBSA,496299,63296,0,0,0,0
2900268,USA,38940,,"Port St. Lucie, Fl",,,CBSA,494081,69429,0,0,0,0
2899972,USA,26620,,"Huntsville, Al",,,CBSA,493980,78521,0,0,0,0
2900289,USA,39900,,"Reno, Nv",,,CBSA,490769,81576,0,0,0,0
2900344,USA,42220,,"Santa Rosa-Petaluma, Ca",,,CBSA,488436,99266,0,0,0,0
2900034,USA,29180,,"Lafayette, La",,,CBSA,479865,58150,0,0,0,0
2900023,USA,28660,,"Killeen-Temple, Tx",,,CBSA,477577,63394,0,0,0,0
2900392,USA,44180,,"Springfield, Mo",,,CBSA,477056,58291,0,0,0,0
2900463,USA,47300,,"Visalia, Ca",,,CBSA,473446,64474,0,0,0,0
2899886,USA,11700,,"Asheville, Nc",,,CBSA,469484,64538,0,0,0,0
2899901,USA,49620,,"York-Hanover, Pa",,,CBSA,457051,79183,0,0,0,0
2900451,USA,46700,,"Vallejo, Ca",,,CBSA,450995,97037,0,0,0,0
2900362,USA,42200,,"Santa Maria-Santa Barbara, Ca",,,CBSA,445213,92332,0,0,0,0
2900327,USA,41500,,"Salinas, Ca",,,CBSA,437609,91043,0,0,0,0
2900325,USA,41420,,"Salem, Or",,,CBSA,433415,72154,0,0,0,0
2900142,USA,33660,,"Mobile, Al",,,CBSA,429312,55247,0,0,0,0
2900285,USA,39740,,"Reading, Pa",,,CBSA,428483,74617,0,0,0,0
2900094,USA,31700,,"Manchester-Nashua, Nh",,,CBSA,422733,95112,0,0,0,0
2899680,USA,18580,,"Corpus Christi, Tx",,,CBSA,422187,64005,0,0,0,0
2900328,USA,41540,,"Salisbury, Md-De",,,CBSA,421982,72964,0,0,0,0
2899641,USA,15180,,"Brownsville-Harlingen, Tx",,,CBSA,421854,47435,0,0,0,0
2899708,USA,23060,,"Fort Wayne, In",,,CBSA,419715,66758,0,0,0,0
2899934,USA,25060,,"Gulfport-Biloxi, Ms",,,CBSA,416839,58287,0,0,0,0
2900346,USA,42340,,"Savannah, Ga",,,CBSA,406575,70705,0,0,0,0
2899694,USA,22420,,"Flint, Mi",,,CBSA,405280,58594,0,0,0,0
2900242,USA,37900,,"Peoria, Il",,,CBSA,401702,67718,0,0,0,0
2899821,USA,15940,,"Canton-Massillon, Oh",,,CBSA,400960,62859,0,0,0,0
2899876,USA,11260,,"Anchorage, Ak",,,CBSA,399335,93016,0,0,0,0
2899594,USA,13140,,"Beaumont-Port Arthur, Tx",,,CBSA,396279,62427,0,0,0,0
2900373,USA,43340,,"Shreveport-Bossier City, La",,,CBSA,391957,53053,0,0,0,0
2900416,USA,45220,,"Tallahassee, Fl",,,CBSA,386064,59757,0,1,0,0
2900146,USA,33860,,"Montgomery, Al",,,CBSA,384740,60849,0,0,0,0
2900433,USA,45940,,"Trenton-Princeton, Nj",,,CBSA,383732,92697,0,0,0,0
2899740,USA,19340,,"Davenport-Moline-Rock Island, Ia-Il",,,CBSA,382983,68395,0,0,0,0
2899795,USA,21660,,"Eugene-Springfield, Or",,,CBSA,382218,65157,0,0,0,0
2900173,USA,34940,,"Naples-Marco Island, Fl",,,CBSA,380221,82011,0,0,0,0
2900198,USA,36100,,"Ocala, Fl",,,CBSA,378225,55265,0,0,0,0
2899879,USA,11460,,"Ann Arbor, Mi",,,CBSA,370231,84245,0,0,0,0
2899954,USA,25860,,"Hickory-Lenoir-Morganton, Nc",,,CBSA,366031,57943,0,0,0,0
2899700,USA,22660,,"Fort Collins, Co",,,CBSA,359363,87199,0,0,0,0
2899971,USA,26580,,"Huntington-Ashland, Wv-Ky-Oh",,,CBSA,359005,55964,0,0,0,0
2899718,USA,23540,,"Gainesville, Fl",,,CBSA,341067,56638,0,0,0,0
2900069,USA,30700,,"Lincoln, Ne",,,CBSA,339707,70899,0,0,0,0
2900302,USA,40420,,"Rockford, Il",,,CBSA,338050,63834,0,0,0,0
2899921,USA,24540,,"Greeley, Co",,,CBSA,331466,89182,0,0,0,0
2900385,USA,43900,,"Spartanburg, Sc",,,CBSA,330119,61955,0,0,0,0
2899626,USA,14500,,"Boulder, Co",,,CBSA,328658,99770,0,1,0,0
2899922,USA,24580,,"Green Bay, Wi",,,CBSA,328011,74208,0,0,0,0
